claim_label,votes_1,votes_2,votes_3,votes_4,votes_5
SUPPORTS,"[""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null, null]"
SUPPORTS,"[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""REFUTES"", ""NOT_ENOUGH_INFO"", null, null, null]","[""REFUTES"", ""NOT_ENOUGH_INFO"", null, null, null]"
REFUTES,"[""NOT_ENOUGH_INFO"", ""REFUTES"", null, null, null]","[""NOT_ENOUGH_INFO"", ""REFUTES"", null, null, null]","[""NOT_ENOUGH_INFO"", ""SUPPORTS"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]"
REFUTES,"[""NOT_ENOUGH_INFO"", ""SUPPORTS"", null, null, null]","[""NOT_ENOUGH_INFO"", ""SUPPORTS"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]"
REFUTES,"[""NOT_ENOUGH_INFO"", ""REFUTES"", null, null, null]","[""SUPPORTS"", ""REFUTES"", null, null, null]","[""SUPPORTS"", ""REFUTES"", null, null, null]","[""NOT_ENOUGH_INFO"", ""REFUTES"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]"
SUPPORTS,"[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""NOT_ENOUGH_INFO"", ""SUPPORTS"", null, null, null]"
SUPPORTS,"[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""REFUTES"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]"
REFUTES,"[null, ""REFUTES"", ""REFUTES"", null, null]","[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""REFUTES"", ""REFUTES"", null, null]","[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""SUPPORTS"", ""REFUTES"", null, null]"
REFUTES,"[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""REFUTES"", ""REFUTES"", null, null]","[null, ""NOT_ENOUGH_INFO"", ""REFUTES"", null, null]","[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]"
REFUTES,"[""NOT_ENOUGH_INFO"", ""REFUTES"", ""NOT_ENOUGH_INFO"", null, null]","[""REFUTES"", ""REFUTES"", ""REFUTES"", null, null]","[""REFUTES"", ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[""REFUTES"", ""REFUTES"", ""NOT_ENOUGH_INFO"", null, null]","[""NOT_ENOUGH_INFO"", ""REFUTES"", ""NOT_ENOUGH_INFO"", null, null]"
NOT_ENOUGH_INFO,"[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]"
SUPPORTS,"[null, ""REFUTES"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null]","[null, ""SUPPORTS"", ""SUPPORTS"", null, null]","[null, ""SUPPORTS"", ""SUPPORTS"", null, null]"
NOT_ENOUGH_INFO,"[""NOT_ENOUGH_INFO"", ""SUPPORTS"", null, null, null]","[""NOT_ENOUGH_INFO"", ""SUPPORTS"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""REFUTES"", ""SUPPORTS"", null, null, null]","[""NOT_ENOUGH_INFO"", ""REFUTES"", null, null, null]"
SUPPORTS,"[""REFUTES"", ""NOT_ENOUGH_INFO"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""REFUTES"", ""NOT_ENOUGH_INFO"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]"
REFUTES,"[""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]","[""REFUTES"", ""SUPPORTS"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]"
REFUTES,"[""REFUTES"", ""REFUTES"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""NOT_ENOUGH_INFO"", ""REFUTES"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]"
NOT_ENOUGH_INFO,"[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[""REFUTES"", ""NOT_ENOUGH_INFO"", ""SUPPORTS"", null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[""NOT_ENOUGH_INFO"", ""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null]"
REFUTES,"[""REFUTES"", ""REFUTES"", null, null, null]","[""REFUTES"", ""SUPPORTS"", null, null, null]","[""REFUTES"", ""NOT_ENOUGH_INFO"", null, null, null]","[""REFUTES"", ""SUPPORTS"", null, null, null]","[""REFUTES"", ""NOT_ENOUGH_INFO"", null, null, null]"
SUPPORTS,"[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null, null]"
REFUTES,"[""REFUTES"", ""REFUTES"", ""NOT_ENOUGH_INFO"", null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[""NOT_ENOUGH_INFO"", ""REFUTES"", ""NOT_ENOUGH_INFO"", null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[""REFUTES"", ""REFUTES"", ""NOT_ENOUGH_INFO"", null, null]"
REFUTES,"[""REFUTES"", ""REFUTES"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]","[""REFUTES"", ""REFUTES"", null, null, null]"
SUPPORTS,"[""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null, null]","[""SUPPORTS"", ""SUPPORTS"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""SUPPORTS"", ""REFUTES"", null, null, null]"
DISPUTED,"[""REFUTES"", ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, ""NOT_ENOUGH_INFO""]","[""REFUTES"", ""REFUTES"", ""REFUTES"", null, ""REFUTES""]","[""REFUTES"", ""NOT_ENOUGH_INFO"", ""SUPPORTS"", null, ""SUPPORTS""]","[""REFUTES"", ""NOT_ENOUGH_INFO"", ""REFUTES"", null, ""SUPPORTS""]","[""SUPPORTS"", ""REFUTES"", ""REFUTES"", null, ""REFUTES""]"
SUPPORTS,"[""SUPPORTS"", ""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null]","[""REFUTES"", ""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null]","[""SUPPORTS"", ""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null]","[""NOT_ENOUGH_INFO"", ""SUPPORTS"", ""NOT_ENOUGH_INFO"", null, null]"
DISPUTED,"[""SUPPORTS"", ""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, ""NOT_ENOUGH_INFO""]","[""SUPPORTS"", ""SUPPORTS"", ""SUPPORTS"", null, ""SUPPORTS""]","[""NOT_ENOUGH_INFO"", ""REFUTES"", ""REFUTES"", null, ""SUPPORTS""]","[""SUPPORTS"", ""REFUTES"", ""REFUTES"", null, ""NOT_ENOUGH_INFO""]","[""REFUTES"", ""REFUTES"", ""REFUTES"", null, ""SUPPORTS""]"
NOT_ENOUGH_INFO,"[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]","[""NOT_ENOUGH_INFO"", ""NOT_ENOUGH_INFO"", null, null, null]"
